# Total Iterations: 500000000
# Cards per Hand: 9
Hand Type,Count,Probability
Pair*2,871890401,0.253881
Pair,537804834,0.156600
Pair*3,321547196,0.093629
ThreeOfKind_Pair,212773823,0.061956
FiveCardsFlush,197366226,0.057470
ThreeCardsFlushStraight_Pair,175423776,0.051081
FiveCardsStraight,153906919,0.044815
FiveCardsStraight_Pair,125500858,0.036544
ThreeOfKind,120950659,0.035219
ThreeCardsFlushStraight,111577712,0.032490
FiveCardsFlush_Pair,96129042,0.027991
SixCardsStraight,78604426,0.022888
ThreeOfKind_Pair*2,60467878,0.017607
ThreeCardsFlushStraight_Pair*2,46944882,0.013670
Nothing,42699839,0.012434
SixCardsFlush,35658035,0.010383
SixCardsStraight_Pair,30140548,0.008776
SevenCardsStraight,30074476,0.008757
Pair*4,22668949,0.006601
FourCardsFlushStraight,20551602,0.005984
FourCardsFlushStraight_Pair,18034663,0.005251
ThreeCardsFlushStraight_ThreeOfKind,13425631,0.003909
ThreeOfKind*2,8930145,0.002600
FiveCardsStraight_Pair*2,8348967,0.002431
SixCardsFlush_Pair,8261074,0.002405
EightCardsStraight,7834539,0.002281
FourOfKind,6935142,0.002019
FourOfKind_Pair,6711732,0.001954
ThreeCardsFlushStraight*2,6669903,0.001942
ThreeOfKind_FiveCardsStraight,6368489,0.001854
ThreeCardsFlushStraight_FiveCardsStraight,6188649,0.001802
FiveCardsFlush_Pair*2,5065009,0.001475
ThreeCardsFlushStraight_FiveCardsFlush,4331325,0.001261
SevenCardsStraight_Pair,3832080,0.001116
ThreeOfKind_FiveCardsFlush,3366059,0.000980
ThreeCardsFlushStraight_ThreeOfKind_Pair,3295044,0.000959
SevenCardsFlush,3249096,0.000946
FiveCardsFlushStraight,2778212,0.000809
ThreeOfKind*2_Pair,2240536,0.000652
FourCardsFlushStraight_Pair*2,2157693,0.000628
ThreeOfKind_Pair*3,1673496,0.000487
ThreeCardsFlushStraight*2_Pair,1552769,0.000452
ThreeCardsFlushStraight_Pair*3,1287364,0.000375
FiveCardsFlushStraight_Pair,1277402,0.000372
NineCardsStraight,1074138,0.000313
FourCardsFlushStraight_ThreeCardsFlushStraight,959627,0.000279
FourCardsFlushStraight_ThreeOfKind,912443,0.000266
FourOfKind_Pair*2,845478,0.000246
SixCardsStraight_ThreeOfKind,740089,0.000216
SixCardsStraight_ThreeCardsFlushStraight,711975,0.000207
FourOfKind_ThreeOfKind,373862,0.000109
SixCardsFlushStraight,274979,0.000080
SevenCardsFlush_Pair,265185,0.000077
FourOfKind_ThreeCardsFlushStraight,258911,0.000075
FourCardsFlushStraight_FiveCardsStraight,175275,0.000051
SixCardsFlush_ThreeCardsFlushStraight,166746,0.000049
SixCardsFlush_ThreeOfKind,157246,0.000046
EightCardsFlush,135037,0.000039
FourCardsFlushStraight_FiveCardsFlush,115507,0.000034
FourCardsFlushStraight_ThreeCardsFlushStraight_Pair,70098,0.000020
FourCardsFlushStraight_ThreeOfKind_Pair,69719,0.000020
SixCardsFlushStraight_Pair,56584,0.000016
FourOfKind_FiveCardsStraight,55143,0.000016
FiveCardsFlushStraight_Pair*2,47614,0.000014
FiveCardsFlushStraight_ThreeCardsFlushStraight,43978,0.000013
FiveCardsFlushStraight_ThreeOfKind,40415,0.000012
FourOfKind_ThreeOfKind_Pair,28171,0.000008
FourOfKind_FiveCardsFlush,27513,0.000008
ThreeCardsFlushStraight_ThreeOfKind*2,26816,0.000008
ThreeCardsFlushStraight*2_ThreeOfKind,23534,0.000007
FourCardsFlushStraight*2,22478,0.000007
FourOfKind_ThreeCardsFlushStraight_Pair,19836,0.000006
SevenCardsFlushStraight,18791,0.000005
ThreeOfKind*3,12139,0.000004
FourOfKind_FourCardsFlushStraight,10650,0.000003
ThreeCardsFlushStraight*3,8159,0.000002
FourOfKind*2,2539,0.000001
NineCardsFlush,1928,0.000001
SevenCardsFlushStraight_Pair,1153,0.000000
FiveCardsFlushStraight_FourCardsFlushStraight,939,0.000000
SixCardsFlushStraight_ThreeOfKind,921,0.000000
SixCardsFlushStraight_ThreeCardsFlushStraight,875,0.000000
EightCardsFlushStraight,802,0.000000
FiveCardsFlushStraight_FourOfKind,181,0.000000
NineCardsFlushStraight,10,0.000000
