Hand Position,Rank,Count,Probablities,Win/NoLose probablity
Front,FourOfKind,377.00,0.00001049%,100.00000000%
Front,FourCardsFlushStraight,4817.00,0.00013404%,99.99998951%
Front,ThreeCardsFlushStraight,6193374.00,0.17234498%,99.99985546%
Front,ThreeOfKind,14210714.00,0.39544604%,99.82751048%
Front,TwoPairs,21900282.00,0.60942608%,99.43206444%
Front,Pair,927132160.50,25.79960033%,98.82263836%
Front,Nothing,2624149450.50,73.02303803%,73.02303803%
Back,EightCardsFlushStraight,62.00,0.00000173%,100.00000000%
Back,SevenCardsFlushStraight,5513.00,0.00015341%,99.99999827%
Back,EightCardsFlush,20725.00,0.00057672%,99.99984486%
Back,SixCardsFlushStraight,139715.00,0.00388789%,99.99926814%
Back,SevenCardsFlush,1062546.00,0.02956780%,99.99538025%
Back,EightCardsStraight,1830960.00,0.05095070%,99.96581244%
Back,FiveCardsFlushStraight,2312658.00,0.06435507%,99.91486174%
Back,FourOfKind,10085935.00,0.28066451%,99.85050667%
Back,FourCardsFlushStraight,29658673.00,0.82532129%,99.56984216%
Back,SevenCardsStraight,14354277.00,0.39944101%,98.74452088%
Back,SixCardsFlush,20753672.00,0.57751901%,98.34507986%
Back,SixCardsStraight,65679045.00,1.82767159%,97.76756086%
Back,Mansion,73514556.50,2.04571285%,95.93988927%
Back,FullHouse,89066563.00,2.47848346%,93.89417642%
Back,FiveCardsFlush,196836536.00,5.47743264%,91.41569295%
Back,FiveCardsStraight,224750900.00,6.25421449%,85.93826031%
Back,ThreeCardsFlushStraight,229655839.50,6.39070580%,79.68404582%
Back,ThreeOfKind,255317012.00,7.10478737%,73.29334002%
Back,TwoPairs,648950476.00,18.05855047%,66.18855265%
Back,Pair,1532693166.00,42.65073825%,48.13000218%
Back,Nothing,196902345.00,5.47926393%,5.47926393%
