Hand Position,Rank,Count,Probablities,Win/NoLose probablity
Front,ThreeCardsFlushStraight,171.00,0.17231303%,100.00000000%
Front,ThreeOfKind,265.00,0.26703481%,99.82768697%
Front,TwoPairs,445.50,0.44892078%,99.56065217%
Front,Pair,25807.50,26.00566315%,99.11173139%
Front,Nothing,72549.00,73.10606824%,73.10606824%
Back,SevenCardsFlush,27.00,0.02720732%,100.00000000%
Back,EightCardsStraight,29.00,0.02922268%,99.97279268%
Back,FiveCardsFlushStraight,33.00,0.03325339%,99.94357000%
Back,FourOfKind,210.00,0.21161249%,99.91031661%
Back,FourCardsFlushStraight,674.00,0.67917532%,99.69870413%
Back,SevenCardsStraight,477.00,0.48066265%,99.01952881%
Back,SixCardsFlush,511.00,0.51492372%,98.53886616%
Back,SixCardsStraight,3022.00,3.04520446%,98.02394244%
Back,Mansion,1867.00,1.88133578%,94.97873798%
Back,FullHouse,2118.00,2.13426308%,93.09740220%
Back,FiveCardsFlush,6206.00,6.25365283%,90.96313912%
Back,FiveCardsStraight,13248.00,13.34972490%,84.70948629%
Back,ThreeCardsFlushStraight,4396.00,4.42975473%,71.35976138%
Back,ThreeOfKind,4967.00,5.00513916%,66.93000665%
Back,TwoPairs,17983.50,18.12158649%,61.92486749%
Back,Pair,26371.50,26.57399383%,43.80328100%
Back,Nothing,17098.00,17.22928717%,17.22928717%
