Hand Position,Rank,Count,Probablities,Win/NoLose probablity
Front,FourCardsFlushStraight,620,0.00012518%,100.00000000%
Front,FourOfKind,70,0.00001413%,99.99987482%
Front,ThreeCardsFlushStraight,500650,0.10108297%,99.99986069%
Front,ThreeOfKind,932280,0.18823056%,99.89877772%
Front,TwoPairs,448500,0.09055370%,99.71054715%
Front,Pair,213259250,43.05778154%,99.61999345%
Front,Nothing,280144830,56.56221191%,56.56221191%
Back,EightCardsFlush,2210,0.00044621%,100.00000000%
Back,SixCardsFlushStraight,15310,0.00309114%,99.99955379%
Back,SevenCardsFlush,122300,0.02469279%,99.99646265%
Back,EightCardsStraight,182010,0.03674845%,99.97176986%
Back,FiveCardsFlushStraight,255200,0.05152576%,99.93502141%
Back,SevenCardsStraight,2350950,0.47466495%,99.88349564%
Back,SixCardsFlush,2795450,0.56441104%,99.40883069%
Back,FourCardsFlushStraight,3194650,0.64501090%,98.84441965%
Back,FourOfKind,952530,0.19231911%,98.19940875%
Back,SixCardsStraight,15220000,3.07297074%,98.00708964%
Back,Mansion,2021890,0.40822660%,94.93411890%
Back,FiveCardsFlush,31451360,6.35013857%,94.52589230%
Back,ThreeCardsFlushStraight,30539060,6.16594204%,88.17575374%
Back,FullHouse,2326270,0.46968197%,82.00981170%
Back,FiveCardsStraight,64137520,12.94958753%,81.54012973%
Back,ThreeOfKind,31988360,6.45856073%,68.59054220%
Back,TwoPairs,26563920,5.36334749%,62.13198147%
Back,Pair,195503250,39.47278361%,56.76863397%
Back,Nothing,85663960,17.29585036%,17.29585036%
