# Total Iterations: 50000000
Hand Type,Count,Probability
Pair*2,126952340,0.256321
Nothing,85180210,0.171982
Pair,68550910,0.138407
FiveCardsStraight,52554850,0.106110
Pair*3,26115420,0.052728
FiveCardsFlush,25707250,0.051904
ThreeOfKind_Pair,19025030,0.038412
ThreeCardsFlushStraight_Pair,16969650,0.034262
SixCardsStraight,14336250,0.028945
ThreeOfKind,12737740,0.025718
ThreeCardsFlushStraight,12107190,0.024445
FiveCardsStraight_Pair,11582670,0.023386
FiveCardsFlush_Pair,5744110,0.011598
SixCardsFlush,2632190,0.005314
SevenCardsStraight,2350950,0.004747
ThreeOfKind_Pair*2,2293720,0.004631
FourCardsFlushStraight,1963750,0.003965
ThreeCardsFlushStraight_Pair*2,1942790,0.003923
FourCardsFlushStraight_Pair,1130210,0.002282
SixCardsStraight_Pair,883750,0.001784
ThreeCardsFlushStraight_ThreeOfKind,803430,0.001622
FourOfKind,557750,0.001126
ThreeOfKind*2,483140,0.000975
Pair*4,448500,0.000906
ThreeCardsFlushStraight*2,431460,0.000871
FourOfKind_Pair,360950,0.000729
FiveCardsFlushStraight,208290,0.000421
EightCardsStraight,182010,0.000367
SixCardsFlush_Pair,163260,0.000330
ThreeOfKind_FiveCardsStraight,149090,0.000301
ThreeCardsFlushStraight_FiveCardsStraight,148370,0.000300
SevenCardsFlush,122300,0.000247
ThreeCardsFlushStraight_FiveCardsFlush,78960,0.000159
ThreeOfKind_FiveCardsFlush,76500,0.000154
ThreeCardsFlushStraight_ThreeOfKind_Pair,52670,0.000106
FiveCardsFlushStraight_Pair,45700,0.000092
FourCardsFlushStraight_Pair*2,35410,0.000071
FourCardsFlushStraight_ThreeCardsFlushStraight,33320,0.000067
ThreeOfKind*2_Pair,32550,0.000066
FourCardsFlushStraight_ThreeOfKind,31550,0.000064
ThreeCardsFlushStraight*2_Pair,26430,0.000053
SixCardsFlushStraight,14310,0.000029
FourOfKind_Pair*2,13240,0.000027
FourOfKind_ThreeOfKind,11430,0.000023
FourOfKind_ThreeCardsFlushStraight,8880,0.000018
EightCardsFlush,2210,0.000004
SixCardsFlushStraight_Pair,1000,0.000002
FiveCardsFlushStraight_ThreeOfKind,650,0.000001
SevenCardsFlushStraight,610,0.000001
FiveCardsFlushStraight_ThreeCardsFlushStraight,560,0.000001
FourCardsFlushStraight*2,410,0.000001
FourOfKind_FourCardsFlushStraight,210,0.000000
FourOfKind*2,70,0.000000
