# Total Iterations: 100000000
# Cards per Hand: 8
Hand Type,Count,Probability
Pair*2,253809454,0.256303
Nothing,170347810,0.172022
Pair,137131184,0.138479
FiveCardsStraight,105131501,0.106165
Pair*3,52211486,0.052725
FiveCardsFlush,51393106,0.051898
ThreeOfKind_Pair,38008294,0.038382
ThreeCardsFlushStraight_Pair,33891049,0.034224
SixCardsStraight,28662174,0.028944
ThreeOfKind,25494549,0.025745
ThreeCardsFlushStraight,24190805,0.024428
FiveCardsStraight_Pair,23152862,0.023380
FiveCardsFlush_Pair,11482050,0.011595
SixCardsFlush,5260989,0.005313
SevenCardsStraight,4704344,0.004751
ThreeOfKind_Pair*2,4567112,0.004612
FourCardsFlushStraight,3909674,0.003948
ThreeCardsFlushStraight_Pair*2,3871088,0.003909
FourCardsFlushStraight_Pair,2256187,0.002278
SixCardsStraight_Pair,1763879,0.001781
ThreeCardsFlushStraight_ThreeOfKind,1602096,0.001618
FourOfKind,1113212,0.001124
ThreeOfKind*2,964245,0.000974
Pair*4,889831,0.000899
ThreeCardsFlushStraight*2,865365,0.000874
FourOfKind_Pair,722928,0.000730
FiveCardsFlushStraight,410692,0.000415
EightCardsStraight,366348,0.000370
SixCardsFlush_Pair,326477,0.000330
ThreeOfKind_FiveCardsStraight,302909,0.000306
ThreeCardsFlushStraight_FiveCardsStraight,295248,0.000298
SevenCardsFlush,244643,0.000247
ThreeCardsFlushStraight_FiveCardsFlush,156215,0.000158
ThreeOfKind_FiveCardsFlush,150439,0.000152
ThreeCardsFlushStraight_ThreeOfKind_Pair,103602,0.000105
FiveCardsFlushStraight_Pair,90424,0.000091
FourCardsFlushStraight_Pair*2,72169,0.000073
FourCardsFlushStraight_ThreeCardsFlushStraight,66833,0.000067
ThreeOfKind*2_Pair,65453,0.000066
FourCardsFlushStraight_ThreeOfKind,63476,0.000064
ThreeCardsFlushStraight*2_Pair,53952,0.000054
SixCardsFlushStraight,28156,0.000028
FourOfKind_Pair*2,25505,0.000026
FourOfKind_ThreeOfKind,22302,0.000023
FourOfKind_ThreeCardsFlushStraight,17256,0.000017
EightCardsFlush,4079,0.000004
SixCardsFlushStraight_Pair,1690,0.000002
FiveCardsFlushStraight_ThreeCardsFlushStraight,1302,0.000001
FiveCardsFlushStraight_ThreeOfKind,1144,0.000001
SevenCardsFlushStraight,1116,0.000001
FourCardsFlushStraight*2,713,0.000001
FourOfKind_FourCardsFlushStraight,314,0.000000
FourOfKind*2,62,0.000000
EightCardsFlushStraight,22,0.000000
